module_code,module_name,name,period,sitting,year_start,year_stop,link
AN218-1,Human Anatomy,Paper 1 - Written,Winter,1,2008,2009,
AN219-1,Cell Biology,Paper 1 - Written,Winter,1,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN219_1_1_5.PDF
AN219-1,Cell Biology,Paper 1 - Written,Autumn,2,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN219_1_2_3.PDF
AN219-1,Cell Biology,Paper 1 - Written,Winter,1,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN219_1_1_5.PDF
AN219-1,Cell Biology,Paper 1 - Written,Autumn,2,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN219_1_2_3.PDF
AN220.I-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2008,2009,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2012,2013,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2010,2011,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Winter,1,2009,2010,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2009,2010,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2011,2012,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Winter,1,2010,2011,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Winter,1,2012,2013,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Winter,1,2008,2009,
AN220.I-1,Human Anatomy I,Paper 1 - Written,Winter,1,2011,2012,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2010,2011,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2008,2009,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Summer,1,2011,2012,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2012,2013,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Summer,1,2009,2010,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2011,2012,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2009,2010,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Summer,1,2010,2011,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Summer,1,2012,2013,
AN220.II-1,Human Anatomy II,Paper 1 - Written,Summer,1,2008,2009,
AN221-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2008,2009,
AN221-1,Human Anatomy I,Paper 1 - Written,Winter,1,2009,2010,
AN221-1,Human Anatomy I,Paper 1 - Written,Autumn,2,2009,2010,
AN221-1,Human Anatomy I,Paper 1 - Written,Winter,1,2008,2009,
AN222-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2008,2009,
AN222-1,Human Anatomy II,Paper 1 - Written,Summer,1,2009,2010,
AN222-1,Human Anatomy II,Paper 1 - Written,Autumn,2,2009,2010,
AN222-1,Human Anatomy II,Paper 1 - Written,Summer,1,2008,2009,
AN223-1,Embryology & Development,Paper 1 - Written,Autumn,2,2013,2014,
AN223-1,Embryology & Development,Paper 1 - Written,Summer,1,2013,2014,
AN223-1,Embryology & Development,Paper 1 - Written,Autumn,2,2014,2015,
AN223-1,Embryology & Development,Paper 1 - Written,Summer,1,2014,2015,
AN224-1,Structure of the Fundamental Tissues,Paper 1 - Written,Winter,1,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN224_1_1_5.PDF
AN224-1,Structure of the Fundamental Tissues,Paper 1 - Written,Autumn,2,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN224_1_2_3.PDF
AN224-1,Structure of the Fundamental Tissues,Paper 1 - Written,Autumn,2,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN224_1_2_3.PDF
AN224-1,Structure of the Fundamental Tissues,Paper 1 - Written,Winter,1,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN224_1_1_5.PDF
AN225-1,Human Gross Anatomy,Paper 1 - Written,Autumn,2,2012,2013,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Autumn,2,2010,2011,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Winter,1,2010,2011,
